공원명,면적,주소,경도,위도,분류,크기
남산도시자연공원,2896887,서울특별시 중구 삼일대로 231(예장동),126.9903773,37.5501402,대형,15
길동생태공원,80683,서울특별시 강동구 천호대로 1291(길동생태공원) ,127.1547791,37.5403935,소형,3
서울대공원,9132690,경기도 과천시 대공원광장로 102,127.0198465,37.4264494,대형,15
서울숲,480994,서울특별시 성동구 뚝섬로 273 (성수동1가) ,127.0417982,37.5430717,중형,7
월드컵공원,2284085,서울특별시 마포구 하늘공원로 84(월드컵공원),126.878907,37.571805,대형,15
광화문시민열린마당,8948,서울특별시 종로구 세종로 76-2,126.9780227,37.5750449,소형,3
중마루근린공원,6456,서울특별시 영등포구 영등포동2가 222,126.9112668,37.519832,소형,3
응봉공원,80309,서울특별시 성동구 금호동1가 산1-72,127.0217653,37.5572281,소형,3
매화근린공원,1980,서울특별시 강서구 등촌동 630-14,126.86115,37.5575833,소형,3
성수근린공원,5197,서울특별시 성동구 성수2가 3동 302-25,127.0524023,37.5448144,소형,3
샛마을근린공원,11467,서울특별시 강동구 명일1동 288,127.1471618,37.5504807,소형,3
여의도근린공원,229539,서울특별시 영등포구 여의공원로 68 (여의도동),126.922377,37.526129,중형,7
간데메근린공원,15179,서울특별시 동대문구 서울시립대로2길 59(간데메공원),127.0488644,37.5732438,소형,3
훈련원근린공원,16734,서울특별시 중구 을지로 227,127.0038188,37.5675245,소형,3
영등포근린공원,61544,서울특별시 영등포구 신길로 275,126.910662,37.515423,소형,3
보라매근린공원,424106,서울특별시 동작구 여의대방로20길 33(보라매공원),126.918289,37.492333,중형,7
어린이대공원,560552,서울특별시 광진구 능동로 216(어린이대공원),127.0809212,37.5498987,중형,7
천호근린공원,26696,서울특별시 강동구 올림픽로 702(천호공원),127.1263451,37.5444741,소형,3
용산가족공원,75900,서울특별시 용산구 서빙고로 185,126.983335,37.522226,소형,3
독립근린공원,113021,서울특별시 서대문구 통일로251(독립공원),126.956771,37.5738289,중형,7
낙산근린공원,201779,서울특별시 종로구 낙산길 41 (우) 03085,127.007587,37.580477,중형,7
양재시민의숲,258991,서울특별시 서초구 매헌로 99 (양재동),127.035042,37.471225,중형,7
관악산도시자연공원,10420819,서울특별시 관악구 관악로 1(관악산공원),126.96413,37.445208,대형,15
효창근린공원,171294,서울특별시 용산구 효창원로 177-18,126.95993,37.545234,중형,7
감로천생태공원(관악산),15000,서울특별시 금천구 독산4동 371?375 373일대,126.9079509,37.469625,소형,3
개운산근린공원,297926,서울특별시 성북구 북악산로 949-73(돈암동 6-1),127.0252858,37.5965837,중형,7
개웅산근린공원,411972,서울특별시 구로구 오류동 산13-1,126.8485734,37.4888943,중형,7
경희궁,98470,서울특별시 종로구 새문안로 55(신문로2가 2-1),126.9685341,37.570773,소형,3
국립현충원,2038741,서울특별시 동작구 사당2동 산41-2,126.9736849,37.4998621,대형,15
계남근린공원,603715,서울특별시 양천구 신정동 산44-2일대,126.8479643,37.5138358,중형,7
고척근린공원,108120,서울특별시 구로구 고척로45길 39(고척공원),126.8521495,37.5042944,중형,7
파리근린공원,29619,서울특별시 양천구 목동동로 363 ,126.8763932,37.5349739,소형,3
허준공원,29843,서울특별시 강서구 허준로5길 42,126.8526745,37.5679874,소형,3
궁동근린공원,126026,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,126.9229851,37.5690506,중형,7
궁산근린공원,135002,서울특별시 강서구 가양동 산4-7,126.838952,37.5735645,중형,7
까치산근린공원,384026,서울특별시 동작구 사당동 산32,126.9640735,37.4845836,중형,7
꿩고개근린공원,180000,서울특별시 강서구 방화동 산110,126.8157075,37.5801585,중형,7
노량진공원,416031,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),126.928607,37.510234,중형,7
답십리근린공원,160720,서울특별시 동대문구 답십리로 209(답십리공원) ,127.0626512,37.5750896,중형,7
대모산도시자연공원,2277252,서울특별시 강남구 광평로10길 30-71(대모산공원) ,127.0809639,37.4796489,대형,15
탑골근린공원,19599,서울특별시 종로구 종로 99,126.9882853,37.5710052,소형,3
갈산근린공원,138596,서울특별시 양천구 신정동 162-56,126.8689146,37.5082119,중형,7
천마근린공원,185295,서울특별시 송파구 마천동 산 1-1,127.1586644,37.5005173,중형,7
도곡근린공원,254648,서울특별시 강남구 도곡동 산31-1,127.0450338,37.4903127,중형,7
도산근린공원,29816,서울특별시 강남구 도산대로45길 20(도산공원),127.0350296,37.5246752,소형,3
청량공원,762642,서울특별시 성북구 화랑로18가길 50,127.0511145,37.6020055,중형,7
초안산근린공원,664905,서울특별시 도봉구 창동 산157,127.0455446,37.648316,중형,7
동명근린공원,99599,서울특별시 강동구 고덕2동 229,127.1676703,37.5598341,소형,3
마로니에공원,5802,서울특별시 종로구 대학로8길 1,127.0027886,37.5802295,소형,3
자매근린공원,16500,서울특별시 영등포구 의사당대로 166 (우) 07324,126.9302895,37.5177329,소형,3
장지근린공원,585652,서울특별시 송파구 장지동 산 11번지,127.1387,37.4957083,중형,7
명일근린공원,649709,서울특별시 강동구 상일동 135,127.1613641,37.5537143,중형,7
방화근린공원,72132,서울특별시 강서구 금낭화로 176(방화공원),126.8132285,37.5819812,소형,3
아시아근린공원,66027,서울특별시 송파구 올림픽로 44 (잠실동),127.0762885,37.5102779,소형,3
배봉산근린공원,265582,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,127.0641623,37.5812324,중형,7
안산도시자연공원,2088704,서울특별시 서대문구 홍제동 산33-98,126.9390273,37.5798246,대형,15
염창근린공원,112070,서울특별시 강서구 염창동 산24-1,126.8689817,37.5579702,중형,7
백련근린공원,993724,서울특별시 서대문구 통일로 507-22(백련공원) ,126.928616,37.5879662,중형,7
오금근린공원,219167,서울특별시 송파구 오금로 363 오금근린공원 ,127.1323957,37.5038715,중형,7
오동근린공원,1349556,서울특별시 강북구 번동 산20-1,127.0317269,37.6327957,대형,15
봉산도시자연공원,1511198,서울특별시 은평구 구산동 산61,126.9020153,37.604071,대형,15
온수도시자연공원,1097565,서울특별시 구로구 개봉동 산2-60,126.83695,37.5002598,대형,15
봉은공원,328018,서울특별시 강남구 삼성동 75,127.0554961,37.5139026,중형,7
올림픽공원,1447122,서울특별시 송파구 올림픽로 424 (방이동),127.122959,37.520934,대형,15
와룡근린공원,207790,서울특별시 종로구 와룡공원길 192 (우) 03063,126.9901672,37.5907944,중형,7
봉화산근린공원,1018689,서울특별시 중랑구 묵동 산46-1,127.0923625,37.6106404,대형,15
북악산도시자연공원,954553,서울특별시 종로구 부암동 산2-6,126.9737295,37.5929992,중형,7
북한산국립공원,1667848,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,127.000938,37.624549,대형,15
외국인묘지공원,13224,서울특별시 마포구 양화진길 46(외국인묘지공원),126.911414,37.546797,소형,3
불광근린공원,130345,서울특별시 은평구 불광동 산33-1,126.9298962,37.6188016,중형,7
