rank,img,title,artist,album
42,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/941/007/82941007_1662445894361_1_140x140.JPG/dims/resize/Q_80,0",새삥 (Prod. by ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
43,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/188/82912188_1663300532914_1_140x140.JPG/dims/resize/Q_80,0",Shut Down,BLACKPINK,BORN PINK
44,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/814/458/82814458_1657270030475_1_140x140.JPG/dims/resize/Q_80,0",그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
45,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/573/83732573_1681437757420_1_140x140.JPG/dims/resize/Q_80,0",FRIEND THE END,볼빨간사춘기,사랑.zip
46,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/443/459/82443459_1639718817315_1_140x140.JPG/dims/resize/Q_80,0",취중고백,김민석 (멜로망스),취중고백
47,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/393/286/82393286_1637039913011_1_140x140.JPG/dims/resize/Q_80,0",오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
48,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/574/618/83574618_1677205061184_1_140x140.JPG/dims/resize/Q_80,0",사랑하기 싫어,지아 (Zia),사랑하기 싫어
49,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/051/769/82051769_1621328428038_1_140x140.JPG/dims/resize/Q_80,0",다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면
50,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/130/513/82130513_1625722837604_1_140x140.JPG/dims/resize/Q_80,0",Stay,The Kid LAROI & Justin Bieber,Stay
51,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/586/132/82586132_1647227017471_1_140x140.JPG/dims/resize/Q_80,0",TOMBOY,(여자)아이들,I NEVER DIE
52,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/188/82912188_1663300532914_1_140x140.JPG/dims/resize/Q_80,0",Pink Venom,BLACKPINK,BORN PINK
53,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/983/095/82983095_1666323297427_1_140x140.JPG/dims/resize/Q_80,0",Monologue,테이 (Tei),Monologue
