rank,category,channel,구독자수,view,video
91,음악/댄스/가수,NCT 127,5200000,9억1983만,534개
92,BJ/인물/연예인,[Awesome Haeun]어썸하은,5180000,8억7274만,521개
94,TV/방송,KBS Entertain,5140000,91억0173만,"117,294개"
93,음악/댄스/가수,ASTRO 아스트로,5140000,6억4056만,646개
95,TV/방송,MBCdrama,4940000,57억8243만,"60,185개"
96,키즈/어린이,뽀로로(Pororo),4910000,68억8441만,"4,185개"
97,음식/요리/레시피,떵개떵,4890000,29억9157만,"4,927개"
98,키즈/어린이,ToyMart TV,4860000,19억9425만,697개
99,애완/반려동물,SBS TV동물농장x애니멀봐,4840000,46억5698만,"4,209개"
101,미분류,매일맛나 delicious day,4790000,4억8997만,329개
100,키즈/어린이,CoCosToy 꼬꼬스토이,4790000,29억9871만,687개
102,음식/요리/레시피,Cooking tree 쿠킹트리,4770000,4억8967만,"1,457개"
104,TV/방송,JTBC Drama,4740000,52억6189만,"27,922개"
103,음식/요리/레시피,까니짱 [ G-NI : 蟹ちゃん],4740000,14억0331만,772개
105,게임,EA SPORTS FIFA,4570000,8억4289만,804개
106,음악/댄스/가수,STUDIO CHOOM [스튜디오 춤],4510000,24억7750만,"1,492개"
107,TV/방송,채널 NCT DAILY,4470000,8억5154만,467개
108,취미/라이프,JaeYeol ASMR 재열,4450000,13억6052만,"1,216개"
109,음식/요리/레시피,하루한끼 one meal a day,4390000,4억7018만,217개
110,미분류,Walt Disney Studios,4370000,19억0267만,"1,417개"
111,음악/댄스/가수,Raon,4370000,11억3370만,398개
112,TV/방송,tvN D ENT,4350000,93억5527만,"25,660개"
113,키즈/어린이,슈슈토이 ShushuToysReview,4340000,14억1336만,495개
114,TV/방송,딩고 뮤직 / dingo music,4310000,18억6064만,"1,967개"
115,미분류,행복지수 103%,4290000,4387만,12개
117,키즈/어린이,유니가치 YuniGachi,4160000,3억7990만,259개
116,음식/요리/레시피,[Dorothy]도로시,4160000,10억4331만,945개
118,음식/요리/레시피,ZOEY ASMR 조이,4150000,11억0237만,848개
119,BJ/인물/연예인,허팝Heopop,4120000,38억2492만,"2,154개"
120,키즈/어린이,키즈팡TV,4070000,24억5547만,"2,217개"
121,음악/댄스/가수,WINNER,4050000,14억5140만,611개
122,BJ/인물/연예인,ARTBEAT,4030000,13억5474만,"2,614개"
123,미분류,Juventus,4010000,8억5396만,"4,075개"
124,뉴스/정치/사회,YTN,3900000,108억7037만,"675,504개"
125,키즈/어린이,제이제이 튜브 [JJ Tube],3890000,25억3908만,515개
126,TV/방송,TV-People,3880000,46억2718만,"20,441개"
127,TV/방송,KBS Drama,3870000,52억7319만,"130,009개"
128,TV/방송,워크맨-Workman,3850000,10억0399만,236개
131,키즈/어린이,Romiyu Vlog로미유 브이로그,3820000,7812만,68개
130,음식/요리/레시피,푸드킹덤 Food Kingdom,3820000,17억8556만,"1,154개"
129,음악/댄스/가수,Jessi,3820000,8억5761만,60개
132,키즈/어린이,EVANS,3810000,2만,5개
133,키즈/어린이,Lime Tube[라임튜브],3780000,28억5436만,"2,213개"
134,애완/반려동물,크림히어로즈,3770000,16억2508만,"1,101개"
136,키즈/어린이,English Singsing,3750000,8억4018만,"1,207개"
135,TV/방송,tvN,3750000,61억3625만,"79,006개"
138,취미/라이프,drawholic,3710000,4억8594만,393개
137,BJ/인물/연예인,waveya 2011,3710000,13억9690만,790개
139,회사/오피셜,Billboard,3700000,14억1435만,"9,011개"
140,음악/댄스/가수,백현 Baekhyun,3690000,4922만,18개
141,TV/방송,JTBC Voyage,3660000,51억8433만,"11,866개"
143,키즈/어린이,Milana FamilyShow[EN],3620000,10억6956만,112개
142,키즈/어린이,헤이지니 Hey Jini,3620000,26억9626만,"1,568개"
144,미분류,NewJeans,3600000,11억1389만,218개
145,게임,소맥거핀,3560000,13억6364만,301개
148,음식/요리/레시피,Chihun ASMR 치훈,3550000,7억8428만,733개
147,키즈/어린이,Boram y Juguetes,3550000,8억5820만,444개
146,영화/만화/애니,장삐쭈,3550000,18억0639만,499개
149,음악/댄스/가수,imlisarhee,3540000,5억6451만,708개
150,키즈/어린이,Like Nastya Collections,3530000,9억9652만,487개
151,음악/댄스/가수,KARD,3520000,7억2461만,374개
152,TV/방송,옐언니,3490000,24억2124만,772개
153,TV/방송,옛드 : MBC 레전드 드라마,3450000,63억3496만,"45,001개"
154,TV/방송,솔라시도 solarsido,3400000,2억4758만,357개
155,뉴스/정치/사회,SBS 뉴스,3380000,68억4363만,"171,157개"
156,키즈/어린이,EBS 키즈,3370000,45억6540만,"20,989개"
157,키즈/어린이,Boys Playtime,3360000,15억1532만,621개
161,음악/댄스/가수,THEBLACKLABEL,3310000,9억4989만,145개
160,키즈/어린이,리월드RIWORLD,3300000,13억5911만,213개
162,음악/댄스/가수,JAY PARK,3300000,10억9451만,181개
159,뉴스/정치/사회,MBCNEWS,3300000,106억0828만,"183,755개"
158,키즈/어린이,럭키강이 LuckyKang i,3300000,15억2090만,"1,570개"
163,취미/라이프,사나고 Sanago,3270000,5억1384만,181개
164,BJ/인물/연예인,보겸TV,3260000,27억2619만,"8,926개"
165,음식/요리/레시피,유디티TV,3220000,6억9270만,"1,165개"
166,BJ/인물/연예인,JOLLY,3200000,8억1475만,582개
167,TV/방송,ATEEZ,3190000,5억3896만,916개
168,취미/라이프,odg,3180000,6억8079만,218개
170,미분류,Bleacher Report,3170000,22억1795만,"9,490개"
169,TV/방송,EBSDocumentary (EBS 다큐),3170000,30억6827만,"34,808개"
173,키즈/어린이,Bob ToysReview,3140000,14억2340만,188개
172,음악/댄스/가수,HyunA,3140000,5억9360만,83개
171,키즈/어린이,Adventure Story 어드벤처 스토리,3140000,18억6940만,"3,886개"
175,스포츠/운동,피지컬갤러리,3120000,8억1603만,873개
174,키즈/어린이,MariAndToys,3120000,81만,70개
176,TV/방송,런닝맨 - 스브스 공식 채널,3070000,47억9056만,"55,193개"
177,뉴스/정치/사회,TVCHOSUN - TV조선,3060000,52억2099만,"84,449개"
178,취미/라이프,Thankyou BUBU,3040000,5억8875만,134개
179,음식/요리/레시피,FRAN,3030000,11억1448만,"1,840개"
180,키즈/어린이,꼬마버스 타요,3010000,23억3145만,"2,968개"
181,음식/요리/레시피,애정 Aejeong,3000000,5억8413만,622개
182,미분류,LE SSERAFIM,2980000,9억1266만,401개
183,뉴스/정치/사회,SBS Catch,2950000,32억6191만,"5,570개"
184,음식/요리/레시피,지현꿍,2920000,2억9779만,150개
188,음악/댄스/가수,GIRLS' GENERATION,2890000,4억0888만,129개
187,취미/라이프,Pan K's The Pancake Artist,2890000,9억5726만,613개
185,영화/만화/애니,지무비 : G Movie,2890000,12억3319만,493개
186,음악/댄스/가수,새송 Saesong,2880000,3억2010만,256개
189,BJ/인물/연예인,International Couple[사샤와 제이],2870000,4억5119만,207개
191,스포츠/운동,김종국 GYM JONG KOOK,2860000,2억7978만,116개
190,음식/요리/레시피,양수빈,2860000,5억3140만,403개
193,음악/댄스/가수,AKMU,2840000,9억6004만,164개
192,음식/요리/레시피,흥삼이네 Heungsam's Family,2840000,15억1953만,"1,696개"
194,미분류,차린건 쥐뿔도 없지만,2830000,2억1507만,26개
195,뉴스/정치/사회,JTBC News,2800000,65억5248만,"166,352개"
196,음식/요리/레시피,나도Nado,2770000,8억1608만,867개
197,영화/만화/애니,총몇명,2750000,12억1155만,445개
198,영화/만화/애니,CheezeFilm,2740000,8억5176만,332개
199,음식/요리/레시피,한세 HANSE,2700000,4억4826만,680개
201,해외,The Wiggles,2680000,36억5796만,804개
200,교육/강의,슈카월드,2680000,6억9722만,"1,385개"
203,BJ/인물/연예인,진용진,2640000,9억3565만,540개
202,취미/라이프,ASMR PPOMO,2640000,7억9502만,597개
204,TV/방송,디글 :Diggle,2620000,59억8812만,"28,691개"
206,미분류,IVE,2610000,10억0411만,365개
205,키즈/어린이,"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",2610000,32억0360만,"1,159개"
207,키즈/어린이,보라미TV BoramiTV,2580000,9억0337만,625개
208,BJ/인물/연예인,흔한남매,2560000,30억5465만,"1,121개"
209,미분류,쿠킹하루 Cooking Haru :),2550000,3억1347만,177개
210,미분류,숏박스,2520000,4억4914만,88개
211,음악/댄스/가수,MONSTA X,2500000,4억8649만,525개
213,영화/만화/애니,짤툰,2490000,20억5980만,"1,292개"
212,TV/방송,스브스 예능맛집,2490000,23억1239만,"4,528개"
215,패션/미용,미지우 MEJIWOO,2480000,4956만,66개
214,음악/댄스/가수,THE K-POP,2480000,8억5379만,"12,711개"
216,음악/댄스/가수,OfficialGDRAGON,2470000,1억7570만,3개
217,TV/방송,PLAYLIST ORIGINALS 플레이리스트 오리지널,2450000,10억8075만,892개
219,음악/댄스/가수,KQ ENTERTAINMENT,2440000,10억9365만,634개
220,미분류,식탁일기 table diary,2430000,3억2832만,184개
218,뉴스/정치/사회,채널A 캔버스,2430000,33억4069만,"41,374개"
221,미분류,Kep1er,2420000,6억3837만,462개
223,음악/댄스/가수,SHINee,2390000,3억2489만,294개
222,키즈/어린이,ToyFamily,2390000,31만,35개
224,키즈/어린이,ToytubeTV 토이튜브TV,2380000,2억8842만,33개
225,음식/요리/레시피,[Nareum_TV] 나름TV,2360000,8억3250만,910개
227,음악/댄스/가수,mirrorHD,2350000,13억5062만,208개
226,IT/기술/컴퓨터,ITSub잇섭,2350000,9억2108만,"1,052개"
230,미분류,Sony Music (Japan),2340000,29억5051만,"3,764개"
229,미분류,ROOKIE MING 루키밍,2340000,13억8131만,849개
228,게임,도티 TV,2340000,27억8662만,"3,453개"
234,미분류,1분요리 뚝딱이형,2320000,9억6622만,790개
233,미분류,뽀송한 준_bosungjun,2320000,2억4329만,348개
232,음악/댄스/가수,A-YEON,2320000,3억0584만,65개
231,음악/댄스/가수,SUPER JUNIOR,2320000,1억8738만,308개
236,게임,감스트GAMST,2310000,18억1017만,"4,685개"
238,주식/경제/부동산,삼프로TV_경제의신과함께,2310000,9억9158만,"11,661개"
235,키즈/어린이,캐릭온 TV,2310000,25억6327만,"1,041개"
240,음악/댄스/가수,채널 NCT MUSIC,2300000,2억0830만,29개
239,음악/댄스/가수,여자친구 GFRIEND OFFICIAL,2300000,6억3764만,515개
237,BJ/인물/연예인,VIVA DANCE STUDIO,2300000,4억7260만,"3,052개"
243,미분류,팀일루션 노성율 - TEAM1LLUSION,2290000,23억6223만,615개
242,교육/강의,디바제시카DeevaJessica,2290000,10억8789만,"3,424개"
241,키즈/어린이,MariAndFriends,2290000,18억4101만,"2,136개"
244,TV/방송,아는형님 Knowingbros,2280000,15억3202만,"3,884개"
248,음악/댄스/가수,GOT7,2270000,9173만,27개
247,음악/댄스/가수,official IZ*ONE,2270000,7억8529만,270개
246,음악/댄스/가수,United CUBE (CUBE Entertainment Official YouTube Channel),2270000,7억5728만,"1,604개"
245,뉴스/정치/사회,KBS News,2270000,46억9506만,"249,952개"
252,뉴스/정치/사회,디글 클래식 :Diggle Classic,2260000,57억7067만,"31,574개"
251,음식/요리/레시피,JerryPop,2260000,8억4985만,413개
250,패션/미용,RISABAE,2260000,3억1087만,467개
249,BJ/인물/연예인,엔조이커플enjoycouple,2260000,10억0399만,724개
255,키즈/어린이,[wonderkids TV] 원더키즈 TV,2250000,10억4814만,"1,063개"
254,키즈/어린이,또봇 Tobot,2250000,29억1537만,"2,257개"
253,음악/댄스/가수,거리노래방,2250000,3억3962만,"1,101개"
256,키즈/어린이,토이영어TV - ToyEnglishTV,2240000,14억1874만,28개
257,음식/요리/레시피,이 남자의 cook,2230000,4억8951만,763개
258,TV/방송,보길 bogil,2220000,9억1041만,"1,133개"
260,BJ/인물/연예인,해그린달 haegreendal,2210000,9950만,62개
259,영화/만화/애니,고몽,2210000,12억5692만,743개
