rank,image,title,artist,album
1,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,I AM,IVE (아이브),I've IVE
2,https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/120/quality/80/optimize,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
3,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,Kitsch,IVE (아이브),I've IVE
4,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
5,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,Spicy,aespa,MY WORLD - The 3rd Mini Album
6,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg/melon/resize/120/quality/80/optimize,꽃,지수 (JISOO),ME
7,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,Ditto,NewJeans,NewJeans 'OMG'
8,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
9,https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
10,https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg/melon/resize/120/quality/80/optimize,물론,허각,물론
11,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,헤어지자 말해요,박재정,1집 Alone
12,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
13,https://cdnimg.melon.co.kr/cm2/album/images/112/24/405/11224405_20230414143309_500.jpg/melon/resize/120/quality/80/optimize,FRIEND THE END,볼빨간사춘기,사랑.zip
14,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,OMG,NewJeans,NewJeans 'OMG'
15,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize,Teddy Bear,STAYC(스테이씨),Teddy Bear
16,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,우리들의 블루스,임영웅,IM HERO
17,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
18,https://cdnimg.melon.co.kr/cm2/album/images/112/30/265/11230265_20230424170802_500.jpg/melon/resize/120/quality/80/optimize,Heaven(2023),임재현,시작은 첫키스 OST Part.1
19,https://cdnimg.melon.co.kr/cm2/album/images/112/19/412/11219412_20230421104829_500.jpg/melon/resize/120/quality/80/optimize,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
20,https://cdnimg.melon.co.kr/cm2/album/images/112/22/887/11222887_20230412154617_500.jpg/melon/resize/120/quality/80/optimize,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
21,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,다시 만날 수 있을까,임영웅,IM HERO
22,https://cdnimg.melon.co.kr/cm2/album/images/111/88/020/11188020_20230223114923_500.jpg/melon/resize/120/quality/80/optimize,Cupid,FIFTY FIFTY,The Beginning: Cupid
23,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,I Don't Think That I Like Her,Charlie Puth,CHARLIE
24,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,London Boy,임영웅,Polaroid
25,https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg/melon/resize/120/quality/80/optimize,After LIKE,IVE (아이브),After LIKE
26,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
27,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,Polaroid,임영웅,Polaroid
28,https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg/melon/resize/120/quality/80/optimize,심(心),DK(디셈버),심(心)
29,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg/melon/resize/120/quality/80/optimize,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
30,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
31,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,무지개,임영웅,IM HERO
32,https://cdnimg.melon.co.kr/cm/album/images/023/36/926/2336926_500.jpg/melon/resize/120/quality/80/optimize,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
33,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,아버지,임영웅,IM HERO
34,https://cdnimg.melon.co.kr/cm2/album/images/111/75/689/11175689_20230214163916_500.jpg/melon/resize/120/quality/80/optimize,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
35,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
36,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg/melon/resize/120/quality/80/optimize,Like Crazy,지민,FACE
37,https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg/melon/resize/120/quality/80/optimize,LOVE DIVE,IVE (아이브),LOVE DIVE
38,https://cdnimg.melon.co.kr/cm2/album/images/112/35/799/11235799_20230502104633_500.jpg/melon/resize/120/quality/80/optimize,나의 바람 (Wind And Wish),비투비,WIND AND WISH
39,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,A bientot,임영웅,IM HERO
40,https://cdnimg.melon.co.kr/cm2/album/images/110/31/616/11031616_20220817122214_500.jpg/melon/resize/120/quality/80/optimize,NIGHT DANCER,imase,NIGHT DANCER
41,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,인생찬가,임영웅,IM HERO
42,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,손이 참 곱던 그대,임영웅,IM HERO
43,https://cdnimg.melon.co.kr/cm2/album/images/112/34/467/11234467_20230428140751_500.jpg/melon/resize/120/quality/80/optimize,안녕이라고 말하지마,V.O.S,안녕이라고 말하지마
44,https://cdnimg.melon.co.kr/cm2/album/images/112/21/404/11221404_20230411101938_500.jpg/melon/resize/120/quality/80/optimize,KNOCK,이채연,Over The Moon
45,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,사랑해 진짜,임영웅,IM HERO
46,https://cdnimg.melon.co.kr/cm2/album/images/112/01/031/11201031_20230320162256_500.jpg/melon/resize/120/quality/80/optimize,Love Me Like This,NMIXX,expérgo
47,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,연애편지,임영웅,IM HERO
48,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg/melon/resize/120/quality/80/optimize,Dynamite,방탄소년단,Dynamite (DayTime Version)
49,https://cdnimg.melon.co.kr/cm2/album/images/112/42/802/11242802_20230512092757_500.jpg/melon/resize/120/quality/80/optimize,The Planet,방탄소년단,The Planet
50,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
51,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,보금자리,임영웅,IM HERO
52,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/120/quality/80/optimize,봄날,방탄소년단,YOU NEVER WALK ALONE
53,https://cdnimg.melon.co.kr/cm2/album/images/112/15/072/11215072_20230331123824_500.jpg/melon/resize/120/quality/80/optimize,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
54,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
55,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
56,https://cdnimg.melon.co.kr/cm2/album/images/111/88/007/11188007_20230223114254_500.jpg/melon/resize/120/quality/80/optimize,사랑하기 싫어,지아,사랑하기 싫어
57,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg/melon/resize/120/quality/80/optimize,Butter,방탄소년단,Butter
58,https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg/melon/resize/120/quality/80/optimize,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
59,https://cdnimg.melon.co.kr/cm2/album/images/111/24/139/11124139_20221215162633_500.jpg/melon/resize/120/quality/80/optimize,Candy,NCT DREAM,Candy - Winter Special Mini Album
60,https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg/melon/resize/120/quality/80/optimize,해요 (2022),#안녕,해요 (2022)
